,nome,cpf,idade,data,endereco,estado,pais
0,Dr. Dom da Paz,309.487.216-69,40,06/04/29,"Vila Costela, 96
São Gabriel
54151-269 Cirino / TO",Minas Gerais,Brasil
1,Maria Laura Nunes,304.916.287-22,18,17/01/05,"Viaduto Macedo, 80
Vila Nova
79731-630 Cardoso da Praia / RJ",Amapá,Brasil
2,Juan Mendes,518.760.324-80,46,18/12/41,"Condomínio Calebe da Conceição, 315
Ernesto Nascimento
27241203 Farias das Pedras / GO",Acre,Brasil
3,Alícia Barros,807.496.215-67,50,26/05/25,"Alameda Heloisa Nunes, 936
Piratininga
17321915 Cirino / BA",Mato Grosso do Sul,Brasil
4,Sr. Gael Henrique Rodrigues,475.129.360-52,55,25/02/40,"Travessa Juliana Nogueira, 12
Cruzeiro
34247014 Martins / DF",Tocantins,Brasil
5,Brenda da Conceição,794.823.016-50,21,21/03/20,"Recanto Aragão, 641
Silveira
91290168 Cunha de Goiás / PB",Ceará,Brasil
6,Davi Luiz da Cruz,529.763.108-40,56,15/04/57,"Via de Castro, 201
Vila Madre Gertrudes 1ª Seção
56364-118 Abreu da Serra / DF",Acre,Brasil
7,Ana Clara Moreira,053.712.648-17,60,26/03/15,"Vale Aparecida, 14
Vale Do Jatoba
92664122 da Cunha / BA",Goiás,Brasil
8,Luísa Casa Grande,648.531.279-09,57,29/05/15,"Travessa Mendes, 94
Eymard
19003606 Moraes de Teixeira / RN",Goiás,Brasil
9,Alícia Pereira,726.105.489-58,34,27/04/34,"Vila Ana Lívia Pacheco, 43
Alto Barroca
90648664 Farias Grande / PI",Paraná,Brasil
